#A
1, 8777, 8727, -5, 30000
2, 8515, 8727, -5, 30000
3, 8713, 8727, -5, 30000
4, 9699, 8727, -5, 30000

#B
5, 9851, 9699, -5, 30000
6, 8727, 9699, -5, 30000
7, 9629, 9699, -5, 30000
8, 20005, 9699, -5, 30000

#C
9, 10866, 10859, -5, 30000
10, 10240, 10859, -5, 30000
11, 10873, 10859, -5, 30000
12, 20126, 10859, -5, 30000

#D
13, 10896, 10886, -5, 30000
14, 10580, 10886, -5, 30000
15, 10852, 10886, -5, 30000
16, 20133, 10886, -5, 30000

#E
17, 9867, 9883, -5, 30000
18, 11413, 9883, -5, 30000
19, 9760, 9883, -5, 30000
20, 11414, 9883, -5, 30000

#F
21, 11369, 8833, -5, 30000
22, 20003, 8833, -5, 30000
23, 8878, 8833, -5, 30000
24, 20004, 8833, -5, 30000

#G
25, 8813, 8827, -5, 30000
26, 11363, 8827, -5, 30000
27, 11369, 8827, -5, 30000
28, 9361, 8827, -5, 30000

#H
29, 9161, 9170, -5, 30000
30, 8713, 9170, -5, 30000
31, 20008, 9170, -5, 30000
32, 11394, 9170, -5, 30000
33, 9485, 9170, -5, 30000

#I
34, 9915, 9843, -5, 30000
35, 9743, 9843, -5, 30000
36, 9814, 9843, -5, 30000
37, 11378, 9843, -5, 30000

#J
38, 9843, 9814, -5, 30000
39, 20032, 9814, -5, 30000
40, 9818, 9814, -5, 30000
41, 11374, 9814, -5, 30000

#K
42, 9814, 9818, -5, 30000
43, 11387, 9818, -5, 30000
44, 9821, 9818, -5, 30000
45, 11375, 9818, -5, 30000

#L
46, 11403, 9747, -5, 30000
47, 11364, 9747, -5, 30000
48, 9745, 9747, -5, 30000
49, 11387, 9747, -5, 30000

#M
50, 20051, 9840, -5, 30000
51, 9750, 9840, -5, 30000
52, 9846, 9840, -5, 30000
53, 11360, 9840, -5, 30000

#N
54, 11349, 9363, -5, 30000
55, 11367, 9363, -5, 30000
56, 9361, 9363, -5, 30000
57, 9513, 9363, -5, 30000

#delete
101, 8727, 8777, -1, 30000
102, 8727, 8515, -1, 30000
103, 8713, 20012, -1, 30000
104, 8709, 8489, -1, 30000
105, 8827, 11363, -1, 30000
106, 11369, 20014, -1, 30000
107, 20003, 8574, -1, 30000
108, 8833, 8878, -1, 30000
109, 9699, 9851, -1, 30000
110, 9170, 9161, -1, 30000
111, 10859, 10866, -1, 30000
112, 11396, 20019, -1, 30000
113, 10209, 20020, -1, 30000
114, 10209, 20021, -1, 30000
115, 9485, 20006, -1, 30000
116, 9843, 9743, -1, 30000
117, 9177, 20011, -1, 30000
118, 11403, 11388, -1, 30000
119, 9814, 20032, -1, 30000
#, 20049, 20050, -1, 30000
#, 20040, 20041, -1, 30000
120, 11362, 20100, -1, 30000
#, 20046, 20047, -1, 30000
#, 20043, 20044, -1, 30000
121, 9363, 11367, -1, 30000
122, 11377, 9823, -1, 30000
123, 9867, 9761, -1, 30000
124, 9883, 9760, -1, 30000
125, 20010, 9970, -1, 30000
#, 10315, 20031, -1, 30000
126, 10315, 10305, -1, 30000
127, 10580, 10591, -1, 30000
128, 10886, 10852, -1, 30000
129, 20102, 20105, -1, 30000
130, 20102, 11347, -1, 30000
131, 20104, 11341, -1, 30000
132, 20108, 20110, -1, 30000
133, 20108, 20111, -1, 30000
134, 20114, 11100, -1, 30000
135, 10890, 11101, -1, 30000
136, 20115, 11102, -1, 30000
#, 20121, 11105, -1, 30000
137, 20122, 20124, -1, 30000
138, 20130, 20129, -1, 30000
139, 20123, 11114, -1, 30000
#, 20131, 20132, -1, 30000
140, 20123, 20125, -1, 30000
